detector,parameter,percentile,threshold,flagged_points,flagged_rate_%,auc,precision,recall,f1,tp,fp,tn,fn,n_eval,parameter_value
Isolation Forest,window=6h,95.0,0.5753026771263158,364,5.008944543828265,0.7854158322393651,0.45604395604395603,0.22865013774104684,0.30458715596330277,166,198,6343,560,7267,6
Isolation Forest,window=6h,99.0,0.6958270409747457,73,1.0045410760974267,0.7854158322393651,0.863013698630137,0.08677685950413223,0.15769712140175218,63,10,6531,663,7267,6
Isolation Forest,window=12h,95.0,0.5647096135709289,364,5.008944543828265,0.7955378302489531,0.44505494505494503,0.2231404958677686,0.29724770642201837,162,202,6339,564,7267,12
Isolation Forest,window=12h,99.0,0.6876088110196348,73,1.0045410760974267,0.7955378302489531,0.7945205479452054,0.07988980716253444,0.14518147684605756,58,15,6526,668,7267,12
Isolation Forest,window=24h,95.0,0.5621177600238046,364,5.008944543828265,0.7963258244352323,0.46153846153846156,0.23140495867768596,0.30825688073394497,168,196,6345,558,7267,24
Isolation Forest,window=24h,99.0,0.6822992772871236,73,1.0045410760974267,0.7963258244352323,0.8082191780821918,0.081267217630854,0.1476846057571965,59,14,6527,667,7267,24
Isolation Forest,window=48h,95.0,0.5521145861141614,364,5.008944543828265,0.7912824089458188,0.532967032967033,0.26721763085399447,0.3559633027522936,194,170,6371,532,7267,48
Isolation Forest,window=48h,99.0,0.6582838948207433,73,1.0045410760974267,0.7912824089458188,0.9726027397260274,0.09779614325068871,0.17772215269086358,71,2,6539,655,7267,48
Isolation Forest,window=72h,95.0,0.5590951048889605,364,5.008944543828265,0.797868541006232,0.5494505494505495,0.27548209366391185,0.3669724770642202,200,164,6377,526,7267,72
Isolation Forest,window=72h,99.0,0.6357391296538415,73,1.0045410760974267,0.797868541006232,0.9726027397260274,0.09779614325068871,0.17772215269086358,71,2,6539,655,7267,72
